Link ID;Source;Destination;Bandwidth;EdgeDelay;EdgeCost;failure probability
1;917;467;100;1.36;1.5;56.99999999999999
2;829;116;100;2.57;1.5;61.0
3;812;45;100;2.35;1.5;33.0
4;954;614;100;0.79;1.5;55.00000000000001
5;866;263;100;1.52;1.5;52.0
6;822;86;100;1.96;1.5;79.0
7;925;498;100;2.61;1.5;54.0
8;876;304;100;1.66;1.5;56.99999999999999
9;859;233;100;1.6;1.5;38.0
10;962;645;100;1.85;1.5;43.0
11;979;716;100;1.43;1.5;53.0
12;869;274;100;2.71;1.5;49.0
13;972;686;100;1.25;1.5;15.0
14;921;482;100;2.92;1.5;80.0
15;894;376;100;2.53;1.5;15.0
16;877;305;100;1.97;1.5;66.0
17;975;700;100;1.12;1.5;33.0
18;832;126;100;1.74;1.5;51.0
19;931;523;100;1.23;1.5;57.99999999999999
20;886;344;100;1.49;1.5;31.0
21;842;167;100;2.2;1.5;28.999999999999996
22;968;670;100;1.63;1.5;27.0
23;890;360;100;2.34;1.5;34.0
24;873;289;100;2.22;1.5;18.0
25;828;110;100;1.42;1.5;31.0
26;801;4;100;1.66;1.5;27.0
27;887;345;100;1.97;1.5;74.0
28;986;742;100;2.68;1.5;50.0
29;941;563;100;3.0;1.5;56.99999999999999
30;853;212;100;1.12;1.5;36.0
31;978;710;100;0.96;1.5;38.0
32;951;604;100;2.51;1.5;14.000000000000002
33;934;533;100;1.19;1.5;50.0
34;846;182;100;1.93;1.5;28.999999999999996
35;988;751;100;1.74;1.5;71.0
36;900;400;100;1.03;1.5;12.0
37;883;329;100;2.59;1.5;23.0
38;856;223;100;2.73;1.5;68.0
39;982;726;100;0.98;1.5;13.0
40;937;547;100;2.92;1.5;76.0
41;893;370;100;0.95;1.5;31.0
42;996;782;100;2.51;1.5;35.0
43;805;19;100;2.56;1.5;72.0
44;947;588;100;1.22;1.5;70.0
45;930;517;100;2.65;1.5;33.0
46;999;796;100;2.48;1.5;15.0
47;852;207;100;2.63;1.5;28.999999999999996
48;955;619;100;2.87;1.5;61.0
49;992;766;100;1.51;1.5;77.0
50;965;660;100;2.37;1.5;72.0
51;948;589;100;0.79;1.5;24.0
52;903;410;100;2.21;1.5;34.0
53;815;59;100;2.26;1.5;40.0
54;914;456;100;2.35;1.5;77.0
55;825;100;100;2.04;1.5;64.0
56;808;29;100;1.48;1.5;19.0
57;862;247;100;2.91;1.5;59.0
58;961;644;100;1.12;1.5;79.0
59;818;70;100;1.58;1.5;11.0
60;944;573;100;1.41;1.5;55.00000000000001
61;899;394;100;2.46;1.5;54.0
62;855;217;100;1.91;1.5;15.0
63;958;629;100;2.3;1.5;16.0
64;821;84;100;1.41;1.5;49.0
65;924;496;100;2.57;1.5;52.0
66;907;425;100;1.18;1.5;26.0
67;880;319;100;1.46;1.5;12.0
68;814;54;100;1.62;1.5;65.0
