DATASET=TINY,TYPE=WITHOUT_FAULT_TOLERANCE,NODES=42,LINKS=63,REQUESTS=100
REQUEST PASSED, REQUESTS FAILED, AVERAGE REQUEST DELAY, AVERAGE REQUEST COST, AVERAGE FAILURE PROBABILITY, AVERAGE LENGTH OF PATHS, MEAN NODE [CPU, RAM], MEAN LINK BANDWIDTH
116,134,15.711637931034485,13.678448275862069,38.79484642924444%,6.741379310344827,[266.3333333333333, 359.6666666666667],1341.9666666666667
REQUEST STATUS,REQUEST ID,PATH ID,FAILURE PROBABILITY,DELAY,COST,FUNCTIONS,PATH
APPROVED|,1|,R1P1|,47.267759562841526%|,12.0|,10.100000000000001|,['F2', 'F3']|,[45, 315, 312, 306, 16]|
APPROVED|,2|,R2P1|,6.557377049180328%|,8.889999999999999|,6.9|,['F5']|,[14, 305, 311, 32]|
APPROVED|,3|,R3P1|,9.89071038251366%|,12.150000000000002|,9.5|,['F3', 'F1']|,[10, 304, 311, 305, 15]|
APPROVED|,4|,R4P1|,39.11475409836066%|,14.320000000000002|,14.2|,['F3', 'F2', 'F5', 'F4', 'F1']|,[4, 302, 308, 339, 367, 307, 20]|
APPROVED|,5|,R5P1|,48.961748633879786%|,19.88|,16.8|,['F1', 'F2', 'F3']|,[24, 308, 302, 316, 315, 312, 306, 18]|
APPROVED|,6|,R6P1|,47.267759562841526%|,9.56|,9.899999999999999|,['F1', 'F5']|,[43, 315, 312, 306, 18]|
APPROVED|,7|,R7P1|,10.491803278688524%|,7.95|,7.1|,['F4', 'F3', 'F1', 'F5', 'F2']|,[11, 304, 311, 31]|
DENIED|,8|,NONE|,NONE|,0|,0|,['F4', 'F1', 'F5', 'F2', 'F3']|,src=44|, dest=42|
APPROVED|,9|,R9P1|,46.98360655737705%|,18.12|,14.4|,['F2', 'F4']|,[21, 307, 351, 388, 312, 315, 45]|
APPROVED|,10|,R10P1|,33.442622950819676%|,16.840000000000003|,12.0|,['F2', 'F3', 'F1', 'F5']|,[24, 308, 339, 367, 307, 21]|
APPROVED|,11|,R11P3|,34.37158469945356%|,19.59|,17.2|,['F2', 'F4', 'F3', 'F5']|,[2, 301, 368, 324, 363, 349, 306, 18]|
APPROVED|,12|,R12P3|,38.721311475409834%|,15.06|,14.0|,['F1', 'F2', 'F5']|,[19, 307, 351, 336, 349, 306, 16]|
APPROVED|,13|,R13P1|,54.26229508196722%|,15.42|,14.5|,['F2']|,[35, 312, 315, 316, 399, 314, 42]|
APPROVED|,14|,R14P1|,6.393442622950819%|,3.7600000000000002|,5.199999999999999|,['F4', 'F5']|,[39, 313, 37]|
APPROVED|,15|,R15P1|,55.32786885245902%|,16.01|,11.899999999999999|,['F2', 'F3', 'F1', 'F5', 'F4']|,[40, 314, 399, 316, 302, 4]|
APPROVED|,16|,R16P1|,39.50819672131148%|,8.989999999999998|,7.6|,['F1', 'F4', 'F2', 'F3']|,[41, 314, 309, 25]|
APPROVED|,17|,R17P2|,43.77049180327869%|,13.010000000000002|,11.8|,['F1', 'F4']|,[20, 307, 309, 342, 310, 29]|
APPROVED|,18|,R18P1|,33.442622950819676%|,13.65|,11.8|,['F5', 'F4']|,[19, 307, 367, 339, 308, 24]|
APPROVED|,19|,R19P5|,21.4207650273224%|,16.68|,16.799999999999997|,['F2', 'F4', 'F3', 'F1']|,[40, 314, 357, 396, 389, 370, 313, 38]|
APPROVED|,20|,R20P2|,43.52459016393443%|,12.64|,11.599999999999998|,['F3', 'F5', 'F1', 'F4']|,[12, 304, 336, 351, 307, 21]|
APPROVED|,21|,R21P2|,43.52459016393443%|,11.33|,11.6|,['F3', 'F2', 'F1', 'F5']|,[10, 304, 336, 351, 307, 20]|
APPROVED|,22|,R22P1|,48.1639344262295%|,14.350000000000001|,14.8|,['F4', 'F2', 'F1']|,[13, 305, 400, 326, 310, 314, 42]|
APPROVED|,23|,R23P1|,46.47540983606557%|,14.79|,11.999999999999998|,['F1', 'F2', 'F3', 'F5']|,[7, 303, 384, 361, 304, 11]|
APPROVED|,24|,R24P3|,34.37158469945356%|,20.409999999999997|,17.299999999999997|,['F1', 'F2', 'F3', 'F5']|,[3, 301, 368, 324, 363, 349, 306, 17]|
APPROVED|,25|,R25P1|,16.295081967213115%|,14.7|,14.6|,['F3', 'F5', 'F1', 'F2', 'F4']|,[15, 305, 335, 374, 370, 313, 39]|
APPROVED|,26|,R26P1|,49.18032786885246%|,13.390000000000002|,12.300000000000002|,['F5', 'F2', 'F4']|,[14, 305, 400, 326, 310, 30]|
APPROVED|,27|,R27P1|,35.84699453551912%|,15.34|,16.700000000000003|,['F2', 'F4', 'F5']|,[33, 311, 304, 361, 313, 328, 302, 6]|
APPROVED|,28|,R28P2|,50.1311475409836%|,19.32|,14.1|,['F4']|,[36, 312, 306, 340, 319, 303, 9]|
DENIED|,29|,NONE|,NONE|,0|,0|,['F4', 'F5', 'F3', 'F2', 'F1']|,src=6|, dest=45|
APPROVED|,30|,R30P2|,47.18032786885246%|,17.16|,13.3|,['F1', 'F4']|,[8, 303, 319, 365, 307, 309, 26]|
APPROVED|,31|,R31P1|,32.704918032786885%|,13.580000000000002|,11.499999999999998|,['F4', 'F2', 'F3']|,[15, 305, 344, 394, 306, 18]|
APPROVED|,32|,R32P1|,53.11475409836065%|,18.689999999999998|,11.799999999999999|,['F3', 'F5', 'F4', 'F2', 'F1']|,[8, 303, 319, 340, 306, 18]|
APPROVED|,33|,R33P1|,44.22950819672131%|,13.469999999999999|,15.0|,['F4', 'F1', 'F5', 'F3', 'F2']|,[37, 313, 361, 398, 350, 301, 3]|
APPROVED|,34|,R34P1|,47.322404371584696%|,19.829999999999995|,17.5|,['F1', 'F4']|,[24, 308, 383, 372, 376, 350, 301, 1]|
DENIED|,35|,NONE|,NONE|,0|,0|,['F1', 'F5', 'F2', 'F3', 'F4']|,src=34|, dest=18|
APPROVED|,36|,R36P1|,45.21311475409836%|,18.200000000000003|,14.0|,['F3', 'F4', 'F1']|,[1, 301, 368, 324, 384, 303, 9]|
