DATASET=TINY,TYPE=WITHOUT_FAULT_TOLERANCE,NODES=42,LINKS=63,REQUESTS=100
REQUEST PASSED, REQUESTS FAILED, AVERAGE REQUEST DELAY, AVERAGE REQUEST COST, AVERAGE FAILURE PROBABILITY, AVERAGE LENGTH OF PATHS, MEAN NODE [CPU, RAM], MEAN LINK BANDWIDTH
117,133,15.818290598290597,13.728205128205127,38.69272803699037%,6.752136752136752,[264.46666666666664, 357.8],1343.6666666666667
REQUEST STATUS,REQUEST ID,PATH ID,FAILURE PROBABILITY,DELAY,COST,FUNCTIONS,PATH
APPROVED|,1|,R1P1|,47.267759562841526%|,12.2|,10.100000000000001|,['F2', 'F3']|,[45, 315, 312, 306, 16]|
APPROVED|,2|,R2P1|,6.557377049180328%|,8.889999999999999|,6.9|,['F5']|,[14, 305, 311, 32]|
APPROVED|,3|,R3P1|,9.89071038251366%|,12.350000000000001|,9.5|,['F3', 'F1']|,[10, 304, 311, 305, 15]|
APPROVED|,4|,R4P1|,39.11475409836066%|,15.520000000000001|,14.2|,['F3', 'F2', 'F5', 'F4', 'F1']|,[4, 302, 308, 339, 367, 307, 20]|
APPROVED|,5|,R5P1|,48.961748633879786%|,18.28|,16.8|,['F1', 'F2', 'F3']|,[24, 308, 302, 316, 315, 312, 306, 18]|
APPROVED|,6|,R6P1|,47.267759562841526%|,9.76|,9.899999999999999|,['F1', 'F5']|,[43, 315, 312, 306, 18]|
APPROVED|,7|,R7P1|,10.491803278688524%|,8.35|,7.1|,['F4', 'F3', 'F1', 'F5', 'F2']|,[11, 304, 311, 31]|
DENIED|,8|,NONE|,NONE|,0|,0|,['F4', 'F1', 'F5', 'F2', 'F3']|,src=44|, dest=42|
APPROVED|,9|,R9P1|,46.98360655737705%|,17.92|,14.4|,['F2', 'F4']|,[21, 307, 351, 388, 312, 315, 45]|
APPROVED|,10|,R10P1|,33.442622950819676%|,15.24|,12.0|,['F2', 'F3', 'F1', 'F5']|,[24, 308, 339, 367, 307, 21]|
APPROVED|,11|,R11P3|,34.37158469945356%|,19.189999999999998|,17.2|,['F2', 'F4', 'F3', 'F5']|,[2, 301, 368, 324, 363, 349, 306, 18]|
APPROVED|,12|,R12P3|,38.721311475409834%|,14.56|,14.0|,['F1', 'F2', 'F5']|,[19, 307, 351, 336, 349, 306, 16]|
