DATASET=TINY,TYPE=WITH_FAULT_TOLERANCE,NODES=42,LINKS=63,REQUESTS=100
REQUEST PASSED, REQUESTS FAILED, AVERAGE REQUEST DELAY, AVERAGE REQUEST COST, AVERAGE FAILURE PROBABILITY, AVERAGE LENGTH OF PATHS, MEAN NODE [CPU, RAM], MEAN LINK BANDWIDTH
169,81,13.696508875739648,11.321893491124264,34.56038413037152%,5.745562130177515,[19.34, 33.34],132.29
REQUEST STATUS,REQUEST ID,PATH ID,FAILURE PROBABILITY,DELAY,COST,FUNCTIONS,PATH
APPROVED|,1|,R1P1|,23.60655737704918%|,13.819999999999999|,11.9|,['F5', 'F2', 'F3', 'F1']|,[50, 173, 162, 197, 178, 1]|
APPROVED|,2|,R2P1|,42.786885245901644%|,17.900000000000002|,11.3|,['F1', 'F5', 'F2']|,[4, 161, 198, 181, 154, 29]|
APPROVED|,3|,R3P1|,33.49726775956284%|,13.08|,10.3|,['F3']|,[115, 196, 181, 190, 35]|
APPROVED|,4|,R4P1|,31.47540983606557%|,15.400000000000002|,11.9|,['F1', 'F3', 'F2', 'F5', 'F4']|,[144, 183, 151, 184, 156, 64]|
APPROVED|,5|,R5P1|,38.52459016393443%|,10.14|,7.3|,['F2', 'F4', 'F3', 'F5']|,[125, 182, 178, 120]|
APPROVED|,6|,R6P1|,52.18579234972678%|,10.6|,9.599999999999998|,['F5', 'F4']|,[54, 181, 190, 167, 59]|
APPROVED|,7|,R7P2|,34.91803278688524%|,16.32|,11.9|,['F4', 'F2', 'F5']|,[19, 185, 184, 156, 164, 101]|
APPROVED|,8|,R8P1|,46.393442622950815%|,8.479999999999999|,7.0|,['F5', 'F1']|,[116, 170, 155, 149]|
APPROVED|,9|,R9P1|,35.90163934426229%|,13.959999999999999|,11.7|,['F4', 'F3']|,[131, 200, 192, 185, 166, 119]|
APPROVED|,10|,R10P1|,34.8087431693989%|,10.1|,9.0|,['F5', 'F4', 'F1', 'F3', 'F2']|,[112, 158, 155, 171, 23]|
APPROVED|,11|,R11P2|,27.540983606557372%|,13.430000000000001|,12.0|,['F5', 'F4', 'F1']|,[77, 174, 172, 188, 196, 62]|
APPROVED|,12|,R12P1|,33.49726775956284%|,12.990000000000002|,10.2|,['F3', 'F1']|,[22, 180, 176, 196, 115]|
APPROVED|,13|,R13P1|,41.69398907103825%|,12.530000000000001|,9.5|,['F3']|,[54, 181, 178, 160, 45]|
APPROVED|,14|,R14P1|,16.9672131147541%|,10.56|,11.7|,['F4']|,[30, 179, 193, 158, 200, 131]|
APPROVED|,15|,R15P1|,33.19672131147541%|,17.68|,11.5|,['F5', 'F2', 'F4', 'F1', 'F3']|,[9, 197, 184, 151, 183, 110]|
APPROVED|,16|,R16P1|,15.136612021857927%|,10.549999999999999|,9.700000000000001|,['F3']|,[85, 162, 171, 199, 25]|
APPROVED|,17|,R17P1|,23.573770491803277%|,15.26|,13.899999999999999|,['F1', 'F5']|,[34, 168, 158, 193, 198, 161, 132]|
APPROVED|,18|,R18P1|,43.98907103825137%|,9.05|,9.8|,['F5']|,[66, 176, 169, 159, 8]|
APPROVED|,19|,R19P1|,39.114754098360656%|,17.28|,14.5|,['F1', 'F3', 'F2']|,[17, 169, 176, 152, 190, 179, 99]|
APPROVED|,20|,R20P1|,28.770491803278688%|,15.79|,12.7|,['F1', 'F3', 'F5']|,[66, 176, 152, 151, 194, 57]|
APPROVED|,21|,R21P1|,30.163934426229506%|,9.87|,7.6000000000000005|,['F2']|,[56, 166, 195, 7]|
APPROVED|,22|,R22P1|,44.97267759562841%|,11.809999999999999|,9.6|,['F4', 'F3', 'F2']|,[120, 178, 182, 174, 41]|
APPROVED|,23|,R23P2|,26.28415300546448%|,8.459999999999999|,9.6|,['F4']|,[114, 156, 184, 197, 11]|
APPROVED|,24|,R24P1|,21.885245901639344%|,13.18|,12.2|,['F5']|,[94, 152, 190, 199, 187, 67]|
APPROVED|,25|,R25P1|,32.70491803278688%|,12.319999999999997|,11.799999999999999|,['F5', 'F2']|,[6, 159, 169, 195, 173, 78]|
APPROVED|,26|,R26P1|,34.78688524590164%|,19.49|,14.4|,['F4', 'F1', 'F3', 'F5']|,[132, 161, 198, 181, 190, 152, 91]|
APPROVED|,27|,R27P1|,31.967213114754095%|,14.57|,12.200000000000001|,['F2']|,[19, 185, 184, 151, 152, 94]|
APPROVED|,28|,R28P1|,35.1639344262295%|,12.649999999999999|,12.1|,['F3', 'F4', 'F1']|,[123, 192, 185, 184, 156, 64]|
APPROVED|,29|,R29P2|,33.40983606557377%|,16.49|,14.399999999999999|,['F1']|,[127, 160, 186, 187, 198, 161, 132]|
