DATASET=TINY,TYPE=WITH_FAULT_TOLERANCE,NODES=42,LINKS=63,REQUESTS=100
REQUEST PASSED, REQUESTS FAILED, AVERAGE REQUEST DELAY, AVERAGE REQUEST COST, AVERAGE FAILURE PROBABILITY, AVERAGE LENGTH OF PATHS, MEAN NODE [CPU, RAM], MEAN LINK BANDWIDTH
108,142,10.877870370370372,9.025000000000002,24.469320032662477%,4.712962962962963,[0.9333333333333333, 14.933333333333334],163.36666666666667
REQUEST STATUS,REQUEST ID,PATH ID,FAILURE PROBABILITY,DELAY,COST,FUNCTIONS,PATH
DENIED|,1|,NONE|,NONE|,0|,0|,['F3', 'F5', 'F2']|,src=2|, dest=30|
DENIED|,2|,NONE|,NONE|,0|,0|,['F2', 'F4', 'F3', 'F5', 'F1']|,src=34|, dest=22|
APPROVED|,3|,R3P1|,24.662112932604735%|,9.07|,9.9|,['F1']|,[11, 49, 55, 52, 21]|
DENIED|,4|,NONE|,NONE|,0|,0|,['F5', 'F4', 'F3', 'F2', 'F1']|,src=40|, dest=1|
APPROVED|,5|,R5P1|,31.32339791356185%|,16.89|,11.700000000000001|,['F4', 'F3', 'F2']|,[3, 46, 53, 58, 59, 40]|
APPROVED|,6|,R6P1|,24.93897996357013%|,12.11|,9.7|,['F2', 'F3', 'F1', 'F4', 'F5']|,[22, 53, 58, 48, 9]|
APPROVED|,7|,R7P1|,22.175644028103044%|,7.81|,7.2|,['F1', 'F4']|,[28, 55, 49, 10]|
APPROVED|,8|,R8P1|,24.868852459016388%|,9.45|,7.4|,['F4', 'F5', 'F3', 'F1']|,[18, 51, 49, 10]|
DENIED|,9|,NONE|,NONE|,0|,0|,['F4', 'F2', 'F5', 'F3', 'F1']|,src=35|, dest=12|
APPROVED|,10|,R10P2|,25.634873323397915%|,14.390000000000002|,11.899999999999999|,['F4', 'F3', 'F1']|,[8, 48, 58, 59, 49, 10]|
APPROVED|,11|,R11P1|,16.093676814988292%|,7.43|,7.5|,['F1', 'F5']|,[31, 56, 48, 7]|
APPROVED|,12|,R12P1|,17.065573770491802%|,9.790000000000001|,6.8999999999999995|,['F2', 'F5', 'F4']|,[12, 49, 59, 42]|
APPROVED|,13|,R13P1|,26.69672131147541%|,11.950000000000001|,9.6|,['F4']|,[10, 49, 59, 47, 6]|
APPROVED|,14|,R14P1|,22.104735883424407%|,9.23|,9.799999999999999|,['F5']|,[8, 48, 58, 59, 40]|
DENIED|,15|,NONE|,NONE|,0|,0|,['F5', 'F2', 'F3']|,src=35|, dest=3|
DENIED|,16|,NONE|,NONE|,0|,0|,['F5', 'F3', 'F2', 'F1', 'F4']|,src=21|, dest=17|
APPROVED|,17|,R17P1|,10.234426229508198%|,6.93|,5.0|,['F2', 'F5', 'F4']|,[25, 54, 27]|
DENIED|,18|,NONE|,NONE|,0|,0|,['F4', 'F1', 'F5', 'F3']|,src=9|, dest=25|
DENIED|,19|,NONE|,NONE|,0|,0|,['F1', 'F5', 'F3']|,src=17|, dest=38|
APPROVED|,20|,R20P1|,24.868852459016388%|,11.000000000000002|,7.4|,['F1', 'F4', 'F2', 'F3', 'F5']|,[16, 51, 49, 10]|
APPROVED|,21|,R21P1|,29.4471766848816%|,11.29|,9.4|,['F1']|,[10, 49, 51, 60, 45]|
APPROVED|,22|,R22P1|,22.651053864168613%|,8.44|,7.800000000000001|,['F1']|,[19, 52, 47, 6]|
DENIED|,23|,NONE|,NONE|,0|,0|,['F4', 'F3', 'F1', 'F5', 'F2']|,src=39|, dest=45|
DENIED|,24|,NONE|,NONE|,0|,0|,['F2', 'F1', 'F5', 'F4', 'F3']|,src=7|, dest=5|
APPROVED|,25|,R25P2|,21.749544626593806%|,11.1|,9.9|,['F5', 'F2', 'F4']|,[38, 58, 48, 56, 31]|
DENIED|,26|,NONE|,NONE|,0|,0|,['F4', 'F3', 'F1', 'F5', 'F2']|,src=30|, dest=43|
DENIED|,27|,NONE|,NONE|,0|,0|,['F5', 'F1']|,src=9|, dest=11|
DENIED|,28|,NONE|,NONE|,0|,0|,['F5', 'F1', 'F4', 'F2']|,src=42|, dest=25|
APPROVED|,29|,R29P4|,31.13859910581222%|,14.41|,11.5|,['F4', 'F1']|,[15, 50, 59, 49, 51, 17]|
APPROVED|,30|,R30P2|,29.287630402384504%|,11.809999999999997|,12.2|,['F4', 'F2']|,[32, 56, 50, 52, 55, 28]|
APPROVED|,31|,R31P1|,35.47267759562842%|,12.5|,9.2|,['F1', 'F2']|,[1, 46, 60, 54, 26]|
DENIED|,32|,NONE|,NONE|,0|,0|,['F4', 'F3', 'F2', 'F5']|,src=6|, dest=3|
APPROVED|,33|,R33P1|,24.662112932604735%|,8.35|,9.599999999999998|,['F2']|,[12, 49, 55, 52, 19]|
DENIED|,34|,NONE|,NONE|,0|,0|,['F5', 'F3']|,src=16|, dest=13|
APPROVED|,35|,R35P1|,23.128805620608897%|,9.29|,7.299999999999999|,['F5', 'F2', 'F1']|,[17, 51, 57, 36]|
APPROVED|,36|,R36P1|,29.06855439642325%|,13.84|,12.4|,['F1']|,[4, 47, 59, 58, 48, 8]|
DENIED|,37|,NONE|,NONE|,0|,0|,['F3', 'F4', 'F5', 'F2', 'F1']|,src=12|, dest=13|
APPROVED|,38|,R38P2|,29.675111773472427%|,13.93|,11.6|,['F3', 'F4']|,[40, 59, 49, 51, 60, 45]|
DENIED|,39|,NONE|,NONE|,0|,0|,['F2', 'F4', 'F5']|,src=29|, dest=18|
APPROVED|,40|,R40P1|,30.56921675774135%|,11.36|,9.4|,['F4', 'F1', 'F3', 'F2']|,[1, 46, 60, 51, 17]|
APPROVED|,41|,R41P2|,31.138599105812215%|,13.49|,11.899999999999999|,['F1', 'F2', 'F3']|,[17, 51, 49, 59, 50, 13]|
APPROVED|,42|,R42P1|,11.611475409836066%|,4.2700000000000005|,4.8|,['F4', 'F1', 'F3']|,[11, 49, 12]|
DENIED|,43|,NONE|,NONE|,0|,0|,['F1', 'F3', 'F4', 'F5', 'F2']|,src=16|, dest=30|
APPROVED|,44|,R44P2|,24.07012750455373%|,9.89|,9.600000000000001|,['F5', 'F4']|,[28, 55, 49, 59, 41]|
APPROVED|,45|,R45P1|,21.42622950819672%|,8.38|,7.3|,['F1', 'F5', 'F4', 'F3', 'F2']|,[43, 60, 51, 18]|
APPROVED|,46|,R46P1|,25.4575260804769%|,13.07|,11.700000000000001|,['F3']|,[27, 54, 52, 50, 58, 38]|
APPROVED|,47|,R47P1|,33.778688524590166%|,14.11|,9.4|,['F3', 'F2', 'F1']|,[22, 53, 46, 60, 45]|
APPROVED|,48|,R48P1|,17.065573770491802%|,10.940000000000001|,7.3|,['F3', 'F1', 'F5', 'F2']|,[10, 49, 59, 41]|
