DATASET=TINY,TYPE=WITHOUT_FAULT_TOLERANCE,NODES=42,LINKS=63,REQUESTS=100
REQUEST PASSED, REQUESTS FAILED, AVERAGE REQUEST DELAY, AVERAGE REQUEST COST, AVERAGE FAILURE PROBABILITY, AVERAGE LENGTH OF PATHS, MEAN NODE [CPU, RAM], MEAN LINK BANDWIDTH
93,157,11.82311827956989,9.53978494623656,33.80994309175167%,4.89247311827957,[-0.3333333333333333, 13.666666666666666],152.16666666666666
REQUEST STATUS,REQUEST ID,PATH ID,FAILURE PROBABILITY,DELAY,COST,FUNCTIONS,PATH
APPROVED|,1|,R1P1|,47.55737704918033%|,8.110000000000001|,7.8|,['F1', 'F3']|,[22, 53, 46, 3]|
APPROVED|,2|,R2P1|,24.144560357675115%|,14.930000000000001|,11.8|,['F2', 'F3', 'F5', 'F4', 'F1']|,[24, 53, 60, 48, 56, 33]|
APPROVED|,3|,R3P1|,43.49635701275045%|,12.57|,9.1|,['F4', 'F3', 'F5']|,[24, 53, 49, 55, 28]|
APPROVED|,4|,R4P3|,35.134128166915055%|,14.150000000000002|,11.7|,['F1', 'F4', 'F3']|,[29, 55, 52, 48, 56, 31]|
APPROVED|,5|,R5P1|,44.93740685543965%|,16.439999999999998|,12.4|,['F5', 'F4', 'F2', 'F3']|,[3, 46, 54, 51, 58, 37]|
APPROVED|,6|,R6P2|,30.928051001821498%|,15.12|,10.1|,['F2', 'F3', 'F4']|,[15, 50, 58, 59, 42]|
APPROVED|,7|,R7P1|,30.87183308494784%|,13.82|,12.0|,['F3', 'F2', 'F4', 'F1', 'F5']|,[22, 53, 60, 48, 56, 31]|
APPROVED|,8|,R8P1|,38.299635701275044%|,12.540000000000001|,9.499999999999998|,['F5', 'F4', 'F1', 'F2', 'F3']|,[27, 54, 52, 55, 28]|
APPROVED|,9|,R9P1|,22.804918032786887%|,4.81|,5.3|,['F2', 'F4', 'F5', 'F3']|,[18, 51, 17]|
APPROVED|,10|,R10P1|,38.93911007025762%|,7.13|,7.7|,['F5', 'F4', 'F2']|,[2, 46, 60, 44]|
APPROVED|,11|,R11P1|,26.647540983606554%|,15.44|,9.600000000000001|,['F1', 'F3', 'F5', 'F4']|,[33, 56, 59, 49, 10]|
APPROVED|,12|,R12P1|,37.59836065573771%|,10.059999999999999|,9.600000000000001|,['F3', 'F1']|,[5, 47, 57, 53, 22]|
APPROVED|,13|,R13P1|,45.85883424408015%|,12.07|,9.5|,['F1']|,[2, 46, 53, 49, 12]|
APPROVED|,14|,R14P1|,27.581967213114755%|,10.92|,9.500000000000002|,['F5', 'F2']|,[7, 48, 56, 58, 37]|
APPROVED|,15|,R15P1|,32.30551415797317%|,17.56|,12.2|,['F1']|,[40, 59, 49, 53, 57, 36]|
APPROVED|,16|,R16P1|,23.571428571428573%|,10.0|,7.3|,['F3', 'F5']|,[42, 59, 56, 33]|
APPROVED|,17|,R17P1|,43.42771982116244%|,12.94|,12.6|,['F5', 'F4']|,[36, 57, 46, 54, 51, 17]|
APPROVED|,18|,R18P1|,44.540983606557376%|,14.669999999999998|,11.9|,['F5', 'F4', 'F1', 'F2']|,[23, 53, 46, 54, 51, 18]|
APPROVED|,19|,R19P1|,28.23406193078324%|,16.66|,9.4|,['F5', 'F1', 'F3', 'F2', 'F4']|,[29, 55, 49, 59, 40]|
APPROVED|,20|,R20P3|,41.85692995529061%|,11.93|,12.4|,['F2', 'F1', 'F4', 'F3']|,[34, 57, 46, 60, 52, 21]|
APPROVED|,21|,R21P1|,33.951730418943534%|,15.38|,9.6|,['F3', 'F1', 'F4', 'F5']|,[24, 53, 49, 59, 42]|
APPROVED|,22|,R22P1|,31.857142857142858%|,9.01|,7.6|,['F5']|,[42, 59, 56, 31]|
APPROVED|,23|,R23P1|,39.989981785063755%|,11.45|,10.1|,['F5', 'F2', 'F4']|,[2, 46, 54, 51, 18]|
APPROVED|,24|,R24P1|,33.07012750455374%|,10.42|,10.299999999999999|,['F5', 'F2', 'F4', 'F1']|,[8, 48, 52, 54, 27]|
APPROVED|,25|,R25P1|,32.054098360655736%|,4.49|,5.5|,['F2', 'F3', 'F1']|,[14, 50, 13]|
APPROVED|,26|,R26P2|,37.07012750455373%|,10.790000000000001|,9.8|,['F1', 'F4', 'F5', 'F2']|,[2, 46, 60, 52, 19]|
APPROVED|,27|,R27P1|,36.64754098360656%|,11.56|,9.799999999999999|,['F1']|,[31, 56, 59, 49, 12]|
APPROVED|,28|,R28P1|,32.73315118397086%|,13.39|,9.9|,['F4', 'F2', 'F1', 'F5', 'F3']|,[5, 47, 54, 51, 18]|
APPROVED|,29|,R29P1|,28.33489461358314%|,10.599999999999998|,8.1|,['F1', 'F3', 'F4', 'F5', 'F2']|,[36, 57, 47, 6]|
APPROVED|,30|,R30P1|,37.16302367941713%|,12.29|,9.6|,['F3']|,[37, 58, 51, 54, 27]|
APPROVED|,31|,R31P1|,33.00936768149883%|,7.95|,7.300000000000001|,['F2']|,[16, 51, 54, 27]|
APPROVED|,32|,R32P1|,31.896955503512878%|,6.379999999999999|,7.6|,['F5', 'F1', 'F3', 'F4', 'F2']|,[14, 50, 51, 17]|
APPROVED|,33|,R33P1|,31.56739526411658%|,15.479999999999999|,9.7|,['F5', 'F2', 'F4', 'F3', 'F1']|,[41, 59, 58, 51, 16]|
APPROVED|,34|,R34P4|,31.026825633383012%|,13.55|,11.5|,['F4', 'F5', 'F1']|,[19, 52, 48, 56, 58, 38]|
APPROVED|,35|,R35P1|,26.585480093676814%|,10.41|,7.6|,['F5', 'F4']|,[41, 59, 58, 39]|
APPROVED|,36|,R36P1|,37.269320843091336%|,11.64|,7.0|,['F2', 'F1', 'F4', 'F5']|,[24, 53, 49, 11]|
APPROVED|,37|,R37P1|,27.929872495446265%|,11.18|,9.600000000000001|,['F2', 'F4', 'F3', 'F1']|,[5, 47, 48, 56, 33]|
APPROVED|,38|,R38P1|,30.88615664845173%|,11.57|,9.4|,['F3']|,[14, 50, 58, 56, 33]|
APPROVED|,39|,R39P1|,43.08105646630237%|,15.0|,9.299999999999999|,['F5', 'F2', 'F3', 'F4']|,[11, 49, 53, 46, 2]|
APPROVED|,40|,R40P1|,46.19216757741348%|,11.010000000000002|,9.5|,['F1', 'F3']|,[1, 46, 53, 49, 12]|
APPROVED|,41|,R41P1|,32.34660421545667%|,9.82|,6.8|,['F3', 'F5', 'F4']|,[16, 51, 58, 38]|
APPROVED|,42|,R42P1|,37.330601092896174%|,10.88|,9.700000000000001|,['F3']|,[14, 50, 58, 56, 31]|
APPROVED|,43|,R43P1|,44.93740685543965%|,14.639999999999999|,12.4|,['F2']|,[3, 46, 54, 51, 58, 37]|
APPROVED|,44|,R44P2|,26.11177347242921%|,12.190000000000001|,12.600000000000001|,['F4']|,[45, 60, 48, 56, 59, 41]|
APPROVED|,45|,R45P1|,32.77943368107303%|,12.140000000000002|,12.600000000000001|,['F1', 'F3']|,[40, 59, 56, 48, 52, 20]|
APPROVED|,46|,R46P1|,25.798594847775174%|,12.4|,7.800000000000001|,['F2', 'F3', 'F4', 'F5', 'F1']|,[5, 47, 54, 25]|
APPROVED|,47|,R47P1|,39.45454545454545%|,15.160000000000002|,11.6|,['F4', 'F5', 'F2', 'F1']|,[7, 48, 52, 55, 49, 10]|
APPROVED|,48|,R48P1|,22.833723653395786%|,7.1000000000000005|,7.800000000000001|,['F4', 'F1', 'F3', 'F2', 'F5']|,[32, 56, 48, 8]|
APPROVED|,49|,R49P1|,26.798594847775174%|,8.74|,7.7|,['F3', 'F5', 'F1', 'F4']|,[19, 52, 48, 8]|
APPROVED|,50|,R50P1|,35.12112932604736%|,10.810000000000002|,10.2|,['F5', 'F3', 'F1', 'F2', 'F4']|,[7, 48, 60, 46, 3]|
APPROVED|,51|,R51P1|,35.947839046199704%|,17.04|,12.6|,['F3', 'F2', 'F4', 'F5', 'F1']|,[9, 48, 52, 55, 50, 15]|
APPROVED|,52|,R52P1|,31.2103825136612%|,11.97|,9.5|,['F5', 'F4', 'F2', 'F1']|,[33, 56, 48, 52, 21]|
APPROVED|,53|,R53P1|,37.969555035128806%|,7.8|,7.8|,['F2']|,[20, 52, 60, 43]|
APPROVED|,54|,R54P1|,34.122950819672134%|,10.770000000000001|,9.799999999999999|,['F4', 'F2', 'F3', 'F5']|,[18, 51, 50, 49, 12]|
APPROVED|,55|,R55P1|,36.522248243559716%|,7.64|,7.2|,['F1', 'F2']|,[29, 55, 52, 20]|
APPROVED|,56|,R56P1|,38.014051522248245%|,11.360000000000001|,7.800000000000001|,['F3', 'F1', 'F2']|,[12, 49, 50, 15]|
APPROVED|,57|,R57P1|,38.74225865209472%|,12.75|,9.2|,['F1']|,[35, 57, 53, 49, 12]|
APPROVED|,58|,R58P1|,24.50351288056206%|,13.100000000000001|,7.199999999999999|,['F4', 'F5', 'F1', 'F3']|,[11, 49, 59, 42]|
