DATASET=TINY,TYPE=WITH_FAULT_TOLERANCE,NODES=42,LINKS=63,REQUESTS=100
REQUEST PASSED, REQUESTS FAILED, AVERAGE REQUEST DELAY, AVERAGE REQUEST COST, AVERAGE FAILURE PROBABILITY, AVERAGE LENGTH OF PATHS, MEAN NODE [CPU, RAM], MEAN LINK BANDWIDTH
78,172,15.437179487179488,13.130769230769234,45.98479753397785%,6.461538461538462,[24.4, 38.4],177.28
REQUEST STATUS,REQUEST ID,PATH ID,FAILURE PROBABILITY,DELAY,COST,FUNCTIONS,PATH
APPROVED|,1|,R1P1|,49.91803278688525%|,16.11|,11.899999999999999|,['F1']|,[211, 371, 390, 330, 344, 131]|
DENIED|,2|,NONE|,NONE|,0|,0|,['F3', 'F2', 'F4', 'F1']|,src=9|, dest=132|
DENIED|,3|,NONE|,NONE|,0|,0|,['F3', 'F1', 'F4', 'F5', 'F2']|,src=167|, dest=100|
APPROVED|,4|,R4P1|,56.81967213114755%|,16.160000000000004|,14.4|,['F2', 'F3']|,[1, 301, 322, 350, 323, 346, 136]|
DENIED|,5|,NONE|,NONE|,0|,0|,['F4', 'F1', 'F2', 'F5']|,src=210|, dest=147|
DENIED|,6|,NONE|,NONE|,0|,0|,['F5', 'F3']|,src=230|, dest=146|
APPROVED|,7|,R7P1|,49.78142076502732%|,24.19|,16.6|,['F2', 'F4', 'F3']|,[213, 371, 390, 330, 344, 355, 356, 168]|
APPROVED|,8|,R8P1|,59.72677595628415%|,10.8|,10.5|,['F1']|,[241, 381, 316, 355, 164]|
DENIED|,9|,NONE|,NONE|,0|,0|,['F4', 'F3', 'F5', 'F1']|,src=2|, dest=232|
DENIED|,10|,NONE|,NONE|,0|,0|,['F5', 'F1', 'F2', 'F4']|,src=88|, dest=216|
APPROVED|,11|,R11P2|,48.55737704918033%|,14.9|,13.6|,['F2']|,[3, 301, 313, 347, 376, 373, 219]|
DENIED|,12|,NONE|,NONE|,0|,0|,['F5', 'F1']|,src=59|, dest=16|
DENIED|,13|,NONE|,NONE|,0|,0|,['F2', 'F4']|,src=230|, dest=24|
DENIED|,14|,NONE|,NONE|,0|,0|,['F3', 'F4', 'F5', 'F1', 'F2']|,src=220|, dest=239|
DENIED|,15|,NONE|,NONE|,0|,0|,['F5', 'F4', 'F2']|,src=243|, dest=140|
APPROVED|,16|,R16P1|,56.06557377049182%|,13.6|,12.6|,['F2']|,[86, 329, 322, 301, 356, 167]|
APPROVED|,17|,R17P1|,45.24590163934426%|,14.34|,12.1|,['F2', 'F1']|,[200, 367, 384, 358, 352, 156]|
APPROVED|,18|,R18P3|,43.38797814207651%|,19.98|,16.3|,['F3', 'F2', 'F5', 'F1', 'F4']|,[30, 310, 311, 331, 399, 332, 325, 75]|
APPROVED|,19|,R19P1|,38.79781420765027%|,19.41|,16.9|,['F1', 'F5']|,[134, 345, 314, 323, 309, 317, 306, 16]|
DENIED|,20|,NONE|,NONE|,0|,0|,['F4', 'F1', 'F5', 'F3']|,src=294|, dest=235|
DENIED|,21|,NONE|,NONE|,0|,0|,['F5', 'F2']|,src=166|, dest=58|
DENIED|,22|,NONE|,NONE|,0|,0|,['F4', 'F5', 'F2', 'F1', 'F3']|,src=2|, dest=16|
APPROVED|,23|,R23P4|,39.453551912568315%|,19.259999999999998|,16.7|,['F1', 'F5', 'F2', 'F3', 'F4']|,[296, 399, 368, 359, 366, 357, 353, 159]|
DENIED|,24|,NONE|,NONE|,0|,0|,['F2', 'F3', 'F4', 'F1']|,src=178|, dest=163|
APPROVED|,25|,R25P1|,40.32786885245901%|,13.05|,11.8|,['F4', 'F5', 'F2']|,[199, 367, 394, 375, 348, 143]|
DENIED|,26|,NONE|,NONE|,0|,0|,['F5']|,src=138|, dest=250|
DENIED|,27|,NONE|,NONE|,0|,0|,['F5', 'F2', 'F3', 'F4']|,src=239|, dest=47|
DENIED|,28|,NONE|,NONE|,0|,0|,['F3', 'F1', 'F5', 'F4']|,src=297|, dest=70|
DENIED|,29|,NONE|,NONE|,0|,0|,['F3', 'F5']|,src=268|, dest=115|
APPROVED|,30|,R30P1|,50.40983606557378%|,16.12|,11.799999999999999|,['F3']|,[70, 324, 364, 370, 310, 28]|
DENIED|,31|,NONE|,NONE|,0|,0|,['F4', 'F1', 'F3', 'F5', 'F2']|,src=88|, dest=181|
APPROVED|,32|,R32P1|,52.29508196721311%|,14.979999999999999|,14.5|,['F4']|,[242, 381, 386, 313, 347, 327, 79]|
APPROVED|,33|,R33P1|,43.049180327868854%|,14.62|,14.4|,['F1']|,[38, 313, 379, 398, 305, 360, 180]|
APPROVED|,34|,R34P1|,54.69945355191257%|,17.919999999999998|,16.8|,['F1', 'F3', 'F4']|,[229, 377, 370, 363, 329, 354, 378, 232]|
APPROVED|,35|,R35P1|,48.68852459016393%|,11.090000000000002|,12.5|,['F1', 'F2']|,[37, 313, 379, 378, 354, 160]|
APPROVED|,36|,R36P1|,41.803278688524586%|,14.280000000000001|,11.899999999999999|,['F4', 'F2', 'F3']|,[61, 321, 396, 351, 382, 245]|
APPROVED|,37|,R37P1|,47.950819672131146%|,13.47|,12.0|,['F4']|,[56, 319, 355, 316, 341, 122]|
DENIED|,38|,NONE|,NONE|,0|,0|,['F5', 'F2', 'F1']|,src=102|, dest=239|
DENIED|,39|,NONE|,NONE|,0|,0|,['F5', 'F2', 'F4', 'F3']|,src=2|, dest=119|
APPROVED|,40|,R40P3|,35.18032786885246%|,16.380000000000003|,14.1|,['F4', 'F1', 'F5']|,[53, 318, 302, 381, 363, 343, 128]|
APPROVED|,41|,R41P1|,44.26229508196721%|,14.03|,12.4|,['F5', 'F3']|,[169, 357, 400, 315, 395, 284]|
DENIED|,42|,NONE|,NONE|,0|,0|,['F3', 'F5']|,src=105|, dest=91|
APPROVED|,43|,R43P1|,55.442622950819676%|,16.67|,14.3|,['F1']|,[119, 340, 397, 333, 375, 348, 143]|
DENIED|,44|,NONE|,NONE|,0|,0|,['F4', 'F3']|,src=81|, dest=75|
APPROVED|,45|,R45P4|,50.10928961748634%|,21.53|,16.900000000000002|,['F2', 'F3']|,[31, 311, 362, 374, 393, 348, 344, 130]|
APPROVED|,46|,R46P1|,35.79234972677596%|,11.7|,9.700000000000001|,['F2']|,[211, 371, 309, 317, 50]|
DENIED|,47|,NONE|,NONE|,0|,0|,['F2', 'F3', 'F5', 'F4']|,src=75|, dest=285|
APPROVED|,48|,R48P2|,49.67213114754099%|,23.82|,19.5|,['F3', 'F1', 'F4']|,[79, 327, 347, 348, 375, 390, 371, 309, 25]|
DENIED|,49|,NONE|,NONE|,0|,0|,['F5']|,src=64|, dest=44|
DENIED|,50|,NONE|,NONE|,0|,0|,['F4', 'F5', 'F3', 'F1', 'F2']|,src=265|, dest=160|
DENIED|,51|,NONE|,NONE|,0|,0|,['F4', 'F3', 'F5', 'F2']|,src=256|, dest=266|
DENIED|,52|,NONE|,NONE|,0|,0|,['F5']|,src=238|, dest=4|
DENIED|,53|,NONE|,NONE|,0|,0|,['F1', 'F2', 'F5']|,src=146|, dest=297|
DENIED|,54|,NONE|,NONE|,0|,0|,['F1', 'F2', 'F3', 'F5']|,src=166|, dest=189|
DENIED|,55|,NONE|,NONE|,0|,0|,['F1', 'F3', 'F5', 'F4']|,src=20|, dest=79|
DENIED|,56|,NONE|,NONE|,0|,0|,['F5', 'F2']|,src=114|, dest=138|
DENIED|,57|,NONE|,NONE|,0|,0|,['F3', 'F5', 'F4', 'F2']|,src=176|, dest=271|
APPROVED|,58|,R58P1|,48.25136612021858%|,10.280000000000001|,9.6|,['F1']|,[141, 347, 376, 365, 193]|
DENIED|,59|,NONE|,NONE|,0|,0|,['F5']|,src=224|, dest=153|
DENIED|,60|,NONE|,NONE|,0|,0|,['F5', 'F1']|,src=38|, dest=10|
APPROVED|,61|,R61P7|,42.24043715846995%|,19.749999999999996|,16.2|,['F2', 'F4', 'F5']|,[141, 347, 376, 373, 341, 343, 331, 91]|
DENIED|,62|,NONE|,NONE|,0|,0|,['F2', 'F3', 'F5', 'F4']|,src=88|, dest=140|
DENIED|,63|,NONE|,NONE|,0|,0|,['F5', 'F2']|,src=71|, dest=135|
DENIED|,64|,NONE|,NONE|,0|,0|,['F1', 'F4', 'F3']|,src=256|, dest=90|
APPROVED|,65|,R65P1|,36.39344262295082%|,14.63|,11.700000000000001|,['F2', 'F4']|,[14, 305, 359, 345, 314, 41]|
APPROVED|,66|,R66P1|,41.31147540983606%|,15.51|,11.799999999999999|,['F1', 'F2', 'F4', 'F3', 'F5']|,[219, 373, 374, 364, 391, 271]|
DENIED|,67|,NONE|,NONE|,0|,0|,['F5', 'F3', 'F4', 'F1']|,src=263|, dest=85|
DENIED|,68|,NONE|,NONE|,0|,0|,['F2', 'F4', 'F5', 'F1', 'F3']|,src=21|, dest=266|
APPROVED|,69|,R69P1|,38.41530054644808%|,10.27|,9.799999999999999|,['F1', 'F4']|,[244, 382, 336, 318, 54]|
DENIED|,70|,NONE|,NONE|,0|,0|,['F2', 'F4', 'F5']|,src=164|, dest=160|
DENIED|,71|,NONE|,NONE|,0|,0|,['F4', 'F2', 'F5', 'F3', 'F1']|,src=103|, dest=76|
DENIED|,72|,NONE|,NONE|,0|,0|,['F1', 'F5', 'F3', 'F2', 'F4']|,src=141|, dest=150|
