Link ID;Source;Destination;Bandwidth;EdgeDelay;EdgeCost;failure probability
1;47;4;100;1.68;1.5;0
2;57;36;100;1.92;1.5;0
3;54;25;100;2.35;1.5;0
4;53;23;100;2.44;1.5;0
5;50;15;100;2.17;1.5;0
6;55;29;100;2.41;1.5;0
7;46;2;100;2.81;1.5;0
8;51;16;100;2.8;1.5;0
9;56;31;100;1.17;1.5;0
10;52;21;100;2.17;1.5;0
11;58;37;100;2.15;1.5;0
12;48;8;100;2.33;1.5;0
13;59;42;100;2.97;1.5;0
14;58;38;100;1.42;1.5;0
15;49;10;100;2.33;1.5;0
16;60;43;100;1.9;1.5;0
17;57;35;100;2.95;1.5;0
18;47;6;100;2.52;1.5;0
19;53;22;100;1.71;1.5;0
20;54;27;100;1.98;1.5;0
21;50;14;100;2.85;1.5;0
22;55;28;100;1.68;1.5;0
23;56;33;100;1.68;1.5;0
24;52;20;100;2.28;1.5;0
25;51;18;100;2.05;1.5;0
26;46;1;100;2.16;1.5;0
27;58;39;100;0.86;1.5;0
28;48;7;100;1.1;1.5;0
29;59;41;100;1.16;1.5;0
30;49;12;100;0.87;1.5;0
31;60;45;100;2.86;1.5;0
32;57;34;100;1.15;1.5;0
33;47;5;100;1.12;1.5;0
34;54;26;100;2.43;1.5;0
35;53;24;100;2.3;1.5;0
36;56;32;100;2.59;1.5;0
37;55;30;100;2.59;1.5;0
38;50;13;100;1.25;1.5;0
39;46;3;100;2.9;1.5;0
40;51;17;100;0.79;1.5;0
41;52;19;100;2.48;1.5;0
42;59;40;100;1.02;1.5;0
43;49;11;100;1.1;1.5;0
44;48;9;100;1.17;1.5;0
45;60;44;100;1.56;1.5;0
46;58;50;100;1.66;1.5;38.0
47;47;59;100;2.25;1.5;49.0
48;50;52;100;1.08;1.5;28.999999999999996
49;51;47;100;2.77;1.5;68.0
50;59;58;100;1.63;1.5;45.0
51;52;55;100;1.1;1.5;50.0
52;57;51;100;2.38;1.5;34.0
53;57;48;100;1.65;1.5;22.0
54;49;59;100;1.75;1.5;25.0
55;46;60;100;2.08;1.5;73.0
56;47;52;100;1.34;1.5;70.0
57;47;55;100;1.03;1.5;20.0
58;51;49;100;2.27;1.5;56.99999999999999
59;52;54;100;2.83;1.5;32.0
60;46;53;100;1.96;1.5;49.0
61;48;56;100;2.06;1.5;30.0
62;53;46;100;1.22;1.5;68.0
63;49;55;100;2.1;1.5;47.0
64;53;58;100;0.88;1.5;41.0
65;56;48;100;2.19;1.5;21.0
66;54;60;100;2.03;1.5;79.0
67;56;60;100;1.19;1.5;41.0
68;50;56;100;1.96;1.5;70.0
69;50;59;100;2.43;1.5;49.0
70;57;46;100;1.69;1.5;74.0
71;51;60;100;1.73;1.5;27.0
72;49;54;100;1.87;1.5;72.0
73;48;58;100;0.85;1.5;28.000000000000004
74;53;57;100;1.65;1.5;61.0
75;55;54;100;1.93;1.5;42.0
