requestID;source;destination;{function1[r1,r2,r3], Function2[r1,r2,r3], Function3[r1,r2,r3]};RequestedBandwidth
1;13;3;['F4', 'F6', 'F3', 'F1'];5
2;20;11;['F2', 'F1', 'F6', 'F4', 'F3'];5
3;13;16;['F1', 'F2', 'F6'];5
4;2;10;['F5'];5
5;11;3;['F1', 'F2'];5
6;4;13;['F4', 'F5', 'F1', 'F2', 'F3'];5
7;17;18;['F1', 'F3'];5
8;20;14;['F5'];5
9;18;19;['F6', 'F4', 'F2', 'F1', 'F5'];5
10;11;8;['F4', 'F6', 'F3', 'F2'];5
11;13;7;['F4', 'F2', 'F3', 'F1'];5
12;4;12;['F5', 'F3'];5
13;10;20;['F5', 'F1', 'F2', 'F3'];5
14;15;9;['F4', 'F6', 'F1'];5
15;9;1;['F6', 'F3', 'F1', 'F5'];5
16;7;6;['F4'];5
17;10;14;['F1'];5
18;20;4;['F3', 'F5', 'F4'];5
19;8;15;['F6', 'F3', 'F4', 'F2'];5
20;14;17;['F1'];5
21;9;11;['F5', 'F3', 'F6', 'F4', 'F1'];5
22;14;3;['F6', 'F1', 'F4', 'F2'];5
23;4;19;['F4'];5
24;5;6;['F5', 'F1'];5
25;7;9;['F1', 'F6'];5
26;1;2;['F6'];5
27;8;19;['F4', 'F5', 'F3', 'F1'];5
28;3;12;['F6', 'F5'];5
29;9;5;['F5'];5
30;1;7;['F4', 'F6', 'F2', 'F1'];5
31;17;18;['F1'];5
32;4;20;['F1', 'F5', 'F4'];5
33;12;3;['F2', 'F1', 'F5'];5
34;9;1;['F6', 'F3'];5
35;18;13;['F5', 'F2', 'F1', 'F4', 'F3'];5
36;2;13;['F5', 'F4'];5
37;1;13;['F6', 'F4'];5
38;11;4;['F1'];5
39;9;16;['F3', 'F1'];5
40;2;4;['F6', 'F4', 'F1', 'F3'];5
41;4;2;['F4', 'F5'];5
42;1;16;['F6', 'F2', 'F4', 'F5'];5
43;1;2;['F2'];5
44;9;17;['F1', 'F6'];5
45;17;12;['F2', 'F6', 'F1', 'F5'];5
46;5;9;['F5'];5
47;16;17;['F1', 'F6', 'F4'];5
48;3;2;['F3', 'F2', 'F1'];5
49;10;17;['F6', 'F2', 'F3', 'F5'];5
50;2;11;['F3', 'F6'];5
