requestID;source;destination;{function1[r1,r2,r3], Function2[r1,r2,r3], Function3[r1,r2,r3]};RequestedBandwidth
1;32;21;['F5', 'F1', 'F3', 'F6'];5
2;19;13;['F4', 'F6', 'F3'];5
3;20;13;['F4'];5
4;22;28;['F3', 'F6', 'F1', 'F2'];5
5;25;18;['F2'];5
6;23;12;['F2', 'F6', 'F3'];5
7;24;36;['F3', 'F4'];5
8;12;29;['F4'];5
9;39;22;['F2', 'F5', 'F3', 'F4'];5
10;15;10;['F5', 'F4', 'F6', 'F1'];5
11;24;30;['F4', 'F3', 'F5', 'F1'];5
12;18;32;['F6', 'F3', 'F1', 'F4'];5
13;20;1;['F5', 'F3', 'F4'];5
14;38;20;['F6', 'F1'];5
15;23;33;['F3', 'F4', 'F6'];5
16;39;36;['F1', 'F4', 'F3'];5
17;40;25;['F3', 'F5'];5
18;38;11;['F5', 'F2'];5
19;33;30;['F4', 'F2', 'F6'];5
20;30;16;['F5', 'F6', 'F2'];5
21;22;12;['F5', 'F6'];5
22;15;3;['F2', 'F5'];5
23;24;5;['F2'];5
24;8;29;['F6', 'F2'];5
25;24;15;['F1', 'F6', 'F2'];5
26;37;24;['F1', 'F5', 'F3'];5
27;14;4;['F3', 'F4', 'F2'];5
28;13;23;['F5', 'F3'];5
29;9;24;['F4'];5
30;5;8;['F4'];5
31;13;1;['F1', 'F4', 'F3', 'F2'];5
32;21;27;['F6', 'F4'];5
33;38;41;['F6', 'F1', 'F4'];5
34;38;2;['F3', 'F1', 'F6'];5
35;24;35;['F2', 'F5', 'F3'];5
36;42;27;['F3', 'F2'];5
37;14;6;['F3', 'F2'];5
38;2;28;['F4'];5
39;4;25;['F6', 'F4', 'F1', 'F2'];5
40;26;25;['F2', 'F1', 'F6'];5
41;30;1;['F1', 'F6', 'F3', 'F4'];5
42;3;38;['F4', 'F5'];5
43;41;6;['F1'];5
44;4;42;['F1', 'F3'];5
45;21;9;['F6', 'F5', 'F3', 'F1'];5
46;39;2;['F1', 'F5'];5
47;25;36;['F6'];5
48;6;26;['F4', 'F6', 'F2', 'F5'];5
49;21;11;['F5', 'F1', 'F3', 'F2'];5
50;14;6;['F6', 'F2', 'F4'];5
51;32;2;['F4', 'F5', 'F6'];5
52;24;11;['F1', 'F6', 'F3'];5
53;14;17;['F1'];5
54;32;38;['F1', 'F6', 'F2', 'F5'];5
