requestID;source;destination;{function1[r1,r2,r3], Function2[r1,r2,r3], Function3[r1,r2,r3]};RequestedBandwidth
1;4;19;['F5'];5
2;3;15;['F6', 'F2', 'F3', 'F5'];5
3;16;13;['F5', 'F1'];5
4;12;14;['F3', 'F4', 'F6'];5
5;8;13;['F5', 'F6', 'F3'];5
6;1;12;['F6', 'F5', 'F3', 'F1'];5
7;10;8;['F2', 'F5', 'F1', 'F6'];5
8;2;7;['F2'];5
9;1;6;['F4', 'F1', 'F6'];5
10;15;17;['F2'];5
11;12;17;['F4', 'F2', 'F6'];5
12;1;18;['F4', 'F2'];5
13;6;18;['F4'];5
14;5;15;['F2', 'F3', 'F4'];5
15;8;20;['F3'];5
16;6;8;['F5', 'F6'];5
17;16;12;['F1', 'F2'];5
18;15;2;['F6', 'F3'];5
19;6;15;['F5', 'F4', 'F1'];5
20;6;5;['F6', 'F3', 'F5', 'F4', 'F2'];5
21;5;7;['F3', 'F4', 'F2', 'F5'];5
22;7;5;['F4', 'F5'];5
23;17;9;['F6', 'F2', 'F1'];5
24;15;13;['F1', 'F6', 'F3', 'F2', 'F5'];5
25;10;4;['F5'];5
26;14;7;['F4', 'F2', 'F1'];5
27;9;18;['F4', 'F6'];5
28;20;18;['F4', 'F5', 'F6'];5
29;10;7;['F1', 'F5', 'F3', 'F2'];5
30;2;8;['F6'];5
31;3;2;['F1', 'F6'];5
32;18;6;['F5', 'F3', 'F4'];5
33;5;11;['F3', 'F1', 'F2', 'F4'];5
34;13;1;['F5'];5
35;19;3;['F1', 'F5'];5
36;3;4;['F5'];5
37;3;7;['F4'];5
38;10;1;['F2'];5
39;15;4;['F1', 'F6', 'F4', 'F2'];5
40;2;4;['F2', 'F3', 'F4'];5
41;7;9;['F1', 'F3', 'F6', 'F4'];5
42;12;20;['F2'];5
43;20;6;['F2'];5
44;3;17;['F3', 'F4', 'F5', 'F2', 'F1'];5
45;14;9;['F3', 'F2', 'F4'];5
46;4;8;['F1', 'F2', 'F6', 'F3'];5
47;18;20;['F4', 'F2'];5
48;4;20;['F3'];5
49;15;9;['F5', 'F1', 'F4'];5
50;9;2;['F3', 'F1'];5
51;17;14;['F1', 'F5'];5
52;7;20;['F4', 'F2', 'F3'];5
53;13;6;['F1', 'F4', 'F6', 'F5'];5
54;13;17;['F3', 'F6', 'F4', 'F1'];5
55;17;3;['F1', 'F5', 'F4', 'F2'];5
56;13;16;['F3', 'F5', 'F2'];5
57;4;14;['F5', 'F2', 'F3'];5
58;2;16;['F1', 'F5', 'F4'];5
59;20;1;['F5', 'F6'];5
60;6;1;['F2', 'F1', 'F5', 'F3'];5
61;14;11;['F6', 'F5'];5
62;18;17;['F4', 'F6', 'F5', 'F1', 'F2'];5
63;2;17;['F3', 'F1', 'F2'];5
64;10;7;['F4'];5
65;11;8;['F3', 'F6', 'F4'];5
66;13;5;['F2', 'F6', 'F4', 'F1', 'F3'];5
67;13;15;['F2', 'F6'];5
68;11;16;['F4'];5
69;2;12;['F3'];5
70;18;20;['F3', 'F1'];5
71;11;19;['F4', 'F1'];5
72;15;12;['F4', 'F1', 'F5'];5
73;14;9;['F5'];5
74;17;12;['F1', 'F2', 'F6', 'F3'];5
75;9;19;['F5', 'F2', 'F6', 'F1'];5
