requestID;source;destination;{function1[r1,r2,r3], Function2[r1,r2,r3], Function3[r1,r2,r3]};RequestedBandwidth
1;19;6;['F6', 'F5', 'F4', 'F2'];5
2;16;14;['F5', 'F3', 'F1'];5
3;5;15;['F2', 'F5'];5
4;13;10;['F5', 'F2'];5
5;13;8;['F4'];5
6;2;12;['F5', 'F6'];5
7;15;12;['F1', 'F4', 'F3'];5
8;17;14;['F3', 'F1', 'F6', 'F4'];5
9;13;19;['F3', 'F5', 'F1', 'F6', 'F2'];5
10;6;2;['F1', 'F4'];5
11;10;1;['F1', 'F3', 'F4', 'F6'];5
12;8;10;['F2', 'F6', 'F1', 'F3'];5
13;15;4;['F2', 'F3'];5
14;16;10;['F4', 'F1', 'F2', 'F3'];5
15;5;20;['F6', 'F1', 'F3'];5
16;15;12;['F3', 'F5'];5
17;12;9;['F2', 'F6'];5
18;5;16;['F2', 'F3'];5
19;16;6;['F4', 'F5', 'F3'];5
20;3;13;['F1', 'F6'];5
21;8;1;['F1', 'F4', 'F6'];5
22;17;10;['F3', 'F5', 'F2', 'F1'];5
23;11;10;['F2', 'F3', 'F6', 'F4', 'F5'];5
24;6;15;['F3', 'F5'];5
25;15;2;['F5', 'F3', 'F4'];5
26;8;10;['F6', 'F2', 'F4', 'F3'];5
27;7;1;['F3', 'F1', 'F2'];5
28;3;6;['F4', 'F6'];5
29;16;5;['F5', 'F3', 'F6'];5
30;8;12;['F2'];5
31;6;2;['F4', 'F1', 'F3', 'F2'];5
32;12;20;['F3', 'F5', 'F6', 'F2'];5
33;5;8;['F5'];5
34;8;17;['F1', 'F2', 'F5', 'F6'];5
35;4;17;['F3'];5
36;20;9;['F1', 'F6', 'F2'];5
37;16;4;['F4', 'F2', 'F6', 'F1'];5
38;3;18;['F6', 'F4'];5
39;2;12;['F1', 'F5', 'F6'];5
40;19;10;['F5', 'F2'];5
41;8;14;['F1', 'F3'];5
42;14;7;['F3', 'F5', 'F2', 'F1'];5
43;7;5;['F1', 'F3', 'F5', 'F2'];5
44;5;15;['F4', 'F5', 'F3'];5
45;3;4;['F2', 'F1', 'F4', 'F3'];5
46;11;19;['F1', 'F3', 'F2'];5
47;19;12;['F3'];5
48;4;3;['F4', 'F1', 'F5', 'F3'];5
49;20;3;['F6', 'F1', 'F5', 'F3'];5
50;2;5;['F4', 'F2', 'F6', 'F1'];5
