requestID;source;destination;Requested VNFs;Requested Bandwidth;Requested VNF failure-threshold
1;65;143;['F2', 'F1', 'F4', 'F3', 'F5'];18;3.2500000000000004
2;15;50;['F2', 'F4'];5;1.3
3;140;141;['F4', 'F1'];13;1.4
4;85;145;['F2'];17;0.75
5;22;21;['F5', 'F3', 'F4'];11;1.6500000000000001
6;68;48;['F2', 'F1', 'F3', 'F4'];20;2.8
7;10;97;['F5'];8;0.45
8;94;51;['F2', 'F1'];20;1.6
9;101;118;['F5', 'F3'];18;1.1
10;22;121;['F2'];22;0.75
11;98;78;['F3', 'F4', 'F1', 'F2', 'F5'];20;3.2500000000000004
12;140;52;['F1'];21;0.85
13;67;38;['F2', 'F4'];11;1.3
14;125;17;['F2'];11;0.75
15;96;140;['F3', 'F1', 'F5'];7;1.95
16;117;2;['F1', 'F4', 'F5'];25;1.8499999999999999
17;46;24;['F3', 'F1', 'F4', 'F2', 'F5'];8;3.25
18;51;43;['F3'];21;0.65
19;58;149;['F2', 'F4', 'F5', 'F1'];11;2.6
20;85;55;['F4', 'F3', 'F5', 'F1', 'F2'];16;3.25
21;74;29;['F5', 'F3', 'F4', 'F2'];13;2.4000000000000004
22;101;84;['F5', 'F2', 'F3'];14;1.85
23;105;148;['F2', 'F1', 'F4'];8;2.1500000000000004
24;6;121;['F4', 'F1', 'F2'];23;2.15
25;69;108;['F3'];5;0.65
26;117;136;['F2'];21;0.75
27;105;40;['F1'];21;0.85
28;130;66;['F3', 'F1', 'F2', 'F5'];24;2.7
29;79;107;['F3', 'F1'];20;1.5
30;50;38;['F2', 'F4', 'F5'];6;1.75
31;83;134;['F2', 'F5', 'F1', 'F4', 'F3'];23;3.2499999999999996
32;121;97;['F2', 'F4', 'F1'];12;2.15
33;88;3;['F2', 'F4'];23;1.3
34;24;138;['F4', 'F1'];9;1.4
35;67;93;['F4'];13;0.55
36;144;86;['F4'];7;0.55
37;105;17;['F5'];9;0.45
38;109;79;['F4', 'F5', 'F1', 'F2'];16;2.6
39;111;143;['F5', 'F2', 'F1', 'F4'];5;2.5999999999999996
40;15;68;['F1', 'F3', 'F4'];16;2.05
41;140;62;['F1', 'F5', 'F3', 'F2', 'F4'];22;3.25
42;78;131;['F4', 'F3'];8;1.2000000000000002
43;16;52;['F3'];16;0.65
44;95;136;['F4'];18;0.55
45;5;24;['F4'];6;0.55
46;143;134;['F3', 'F1'];16;1.5
47;22;102;['F4'];6;0.55
48;148;62;['F1', 'F5', 'F3'];14;1.9500000000000002
49;119;24;['F3', 'F4', 'F2', 'F5', 'F1'];23;3.2500000000000004
50;28;122;['F1', 'F5', 'F4', 'F3', 'F2'];5;3.25
51;128;112;['F2', 'F1', 'F5', 'F4', 'F3'];17;3.2500000000000004
52;106;86;['F5', 'F1', 'F2', 'F3'];8;2.6999999999999997
53;78;48;['F3', 'F5', 'F2', 'F4', 'F1'];17;3.2500000000000004
54;81;42;['F1', 'F2', 'F5'];17;2.0500000000000003
55;28;20;['F3', 'F2', 'F5'];20;1.8499999999999999
56;57;52;['F2', 'F3', 'F5'];14;1.8499999999999999
57;78;63;['F2'];6;0.75
58;123;4;['F4', 'F1'];25;1.4
59;61;86;['F5', 'F4'];18;1.0
60;107;150;['F1', 'F5', 'F2', 'F3', 'F4'];18;3.25
61;9;93;['F3', 'F5', 'F4', 'F2', 'F1'];8;3.2500000000000004
62;16;142;['F4'];22;0.55
63;14;82;['F5', 'F1', 'F2', 'F3'];22;2.6999999999999997
64;30;93;['F1'];22;0.85
65;134;111;['F1', 'F4', 'F5', 'F3'];19;2.5
66;54;46;['F3', 'F5'];24;1.1
67;85;42;['F5', 'F4', 'F1', 'F2'];18;2.6
68;17;28;['F4'];5;0.55
69;141;115;['F1'];8;0.85
70;58;35;['F4', 'F3', 'F2', 'F1', 'F5'];11;3.2500000000000004
71;42;30;['F2', 'F4', 'F1'];24;2.15
72;29;137;['F2'];11;0.75
73;121;21;['F5', 'F1', 'F2', 'F4', 'F3'];22;3.2499999999999996
74;88;141;['F1'];8;0.85
75;99;104;['F2', 'F4'];23;1.3
76;13;78;['F5', 'F4', 'F1'];10;1.85
77;111;28;['F3', 'F2', 'F1', 'F4', 'F5'];17;3.25
78;20;58;['F1', 'F5', 'F2', 'F3', 'F4'];10;3.25
79;79;57;['F3'];6;0.65
80;47;53;['F5', 'F1'];25;1.3
