Link ID;Source;Destination;Bandwidth;EdgeDelay;EdgeCost;failure probability
1;47;4;100;1.37;1.5;0.43
2;57;36;100;1.62;1.5;0.89
3;54;25;100;1.21;1.5;0.44
4;53;23;100;2.46;1.5;0.09
5;50;15;100;1.68;1.5;0.86
6;55;29;100;0.78;1.5;0.12
7;46;2;100;0.85;1.5;0.65
8;51;16;100;1.45;1.5;0.08
9;56;31;100;2.22;1.5;0.7
10;52;21;100;2.08;1.5;0.88
11;58;37;100;0.95;1.5;0.06
12;48;8;100;1.21;1.5;0.44
13;59;42;100;2.86;1.5;0.38
14;58;38;100;1.78;1.5;0.01
15;49;10;100;2.45;1.5;0.58
16;60;43;100;2.11;1.5;0.21
17;57;35;100;1.09;1.5;0.38
18;47;6;100;1.48;1.5;0.26
19;53;22;100;1.64;1.5;0.53
20;54;27;100;0.84;1.5;0.41
21;50;14;100;2.3;1.5;0.58
22;55;28;100;1.31;1.5;0.98
23;56;33;100;2.95;1.5;0.23
24;52;20;100;1.54;1.5;0.31
25;51;18;100;2.27;1.5;0.19
26;46;1;100;2.72;1.5;0.36
27;58;39;100;1.94;1.5;0.71
28;48;7;100;1.55;1.5;0.49
29;59;41;100;2.14;1.5;0.27
30;49;12;100;1.1;1.5;0.53
31;60;45;100;1.33;1.5;0.18
32;57;34;100;1.76;1.5;0.89
33;47;5;100;1.69;1.5;0.42
34;54;26;100;1.78;1.5;0.86
35;53;24;100;1.27;1.5;0.39
36;56;32;100;2.97;1.5;0.02
37;55;30;100;1.13;1.5;0.94
38;50;13;100;1.72;1.5;0.1
39;46;3;100;2.53;1.5;0.74
40;51;17;100;2.73;1.5;0.35
41;52;19;100;1.32;1.5;0.46
42;59;40;100;2.07;1.5;0.94
43;49;11;100;1.91;1.5;0.32
44;48;9;100;1.14;1.5;0.69
45;60;44;100;2.73;1.5;0.82
46;60;53;100;1.89;1.5;0.93
47;50;52;100;1.14;1.5;0.99
48;51;47;100;2.68;1.5;0.47
49;60;59;100;2.44;1.5;0.92
50;46;54;100;1.12;1.5;0.54
51;49;59;100;1.87;1.5;0.65
52;53;59;100;1.32;1.5;0.07
53;51;46;100;1.37;1.5;0.16
54;47;55;100;1.07;1.5;0.3
55;59;51;100;1.44;1.5;0.33
56;51;49;100;2.92;1.5;0.12
57;60;58;100;2.17;1.5;0.89
58;52;54;100;0.76;1.5;0.59
59;52;57;100;0.79;1.5;0.55
60;49;55;100;2.73;1.5;0.17
61;54;57;100;2.57;1.5;0.64
62;50;47;100;1.18;1.5;0.42
63;58;48;100;0.86;1.5;0.75
64;50;56;100;1.31;1.5;0.59
65;58;60;100;2.94;1.5;0.34
66;57;46;100;1.72;1.5;0.98
67;57;58;100;2.58;1.5;0.43
68;49;48;100;1.62;1.5;0.64
69;46;55;100;1.83;1.5;0.23
70;48;52;100;2.35;1.5;0.82
71;48;55;100;2.55;1.5;0.81
72;56;47;100;2.11;1.5;0.61
73;53;54;100;1.56;1.5;0.45
74;56;50;100;1.39;1.5;0.54
75;56;53;100;2.25;1.5;0.35
