Link ID;Source;Destination;Bandwidth;EdgeDelay;EdgeCost;failure probability
1;4444;1774;100;0.96;1.5;0.94
2;4253;1011;100;2.98;1.5;0.22
3;4110;437;100;2.38;1.5;0.07
4;4314;1256;100;1.66;1.5;0.75
5;4685;2740;100;2.46;1.5;0.79
6;4351;1403;100;2.09;1.5;0.81
7;4913;3650;100;2.13;1.5;0.71
8;4722;2887;100;2.01;1.5;0.82
9;4590;2359;100;1.47;1.5;0.55
10;4447;1785;100;0.91;1.5;0.29
11;4256;1022;100;2.18;1.5;0.93
12;4950;3797;100;2.89;1.5;0.95
13;4961;3843;100;2.64;1.5;0.75
14;4818;3269;100;1.97;1.5;0.93
15;4123;492;100;0.79;1.5;0.63
16;4686;2741;100;2.27;1.5;0.12
17;4553;2211;100;1.64;1.5;0.64
18;4219;874;100;1.67;1.5;0.25
19;4028;111;100;1.96;1.5;0.14
20;4460;1840;100;2.78;1.5;0.46
21;4831;3324;100;1.53;1.5;0.57
22;4688;2750;100;1.93;1.5;0.44
23;4124;493;100;1.13;1.5;0.61
24;4497;1987;100;2.67;1.5;0.49
25;4927;3706;100;2.23;1.5;0.37
26;4736;2943;100;2.8;1.5;0.37
27;4593;2369;100;2.39;1.5;1.0
28;4089;355;100;2.11;1.5;0.36
29;4964;3853;100;2.13;1.5;0.62
30;4832;3325;100;0.95;1.5;0.29
31;4328;1311;100;2.23;1.5;0.21
32;4137;548;100;1.92;1.5;0.65
33;4699;2795;100;2.06;1.5;0.74
34;4365;1458;100;1.44;1.5;0.52
35;4235;940;100;1.04;1.5;0.87
36;4031;121;100;0.84;1.5;0.72
37;4797;3187;100;0.98;1.5;0.64
38;4606;2424;100;1.56;1.5;0.46
39;4834;3334;100;1.08;1.5;0.61
40;4270;1077;100;0.95;1.5;0.86
41;4702;2806;100;1.8;1.5;0.94
42;4198;792;100;2.32;1.5;0.82
43;4368;1469;100;1.18;1.5;0.2
44;4739;2953;100;2.3;1.5;0.15
45;4437;1748;100;1.82;1.5;0.16
46;4103;411;100;2.06;1.5;0.67
47;4978;3909;100;1.36;1.5;0.09
48;4474;1895;100;2.93;1.5;0.52
49;4140;558;100;1.37;1.5;0.1
50;4845;3379;100;2.63;1.5;0.52
51;4906;3624;100;0.79;1.5;0.88
52;4511;2042;100;1.59;1.5;0.39
53;4008;30;100;2.45;1.5;0.93
54;4177;705;100;0.94;1.5;0.18
55;4381;1524;100;1.59;1.5;0.02
56;4943;3771;100;2.98;1.5;0.72
57;4045;177;100;0.87;1.5;0.13
58;4811;3243;100;1.63;1.5;0.44
59;4980;3918;100;1.54;1.5;0.08
60;4477;1906;100;1.7;1.5;0.64
61;4848;3390;100;0.9;1.5;0.65
62;4344;1376;100;2.64;1.5;0.45
63;4514;2053;100;2.97;1.5;0.25
64;4212;848;100;2.46;1.5;0.95
65;4583;2332;100;1.46;1.5;0.1
66;4249;995;100;1.88;1.5;0.5
67;4620;2479;100;1.12;1.5;0.63
68;4681;2724;100;2.08;1.5;0.77
69;4286;1142;100;1.1;1.5;0.84
70;4345;1377;100;2.62;1.5;0.32
71;4154;614;100;1.17;1.5;0.77
72;4920;3680;100;1.38;1.5;0.08
73;4957;3827;100;2.34;1.5;0.28
74;4814;3253;100;2.9;1.5;0.93
75;4623;2490;100;2.08;1.5;0.49
76;4119;476;100;1.6;1.5;0.95
77;4490;1960;100;2.62;1.5;0.12
78;4358;1432;100;0.96;1.5;0.26
79;4024;95;100;1.26;1.5;0.2
80;4729;2916;100;0.77;1.5;0.05
81;4586;2342;100;1.62;1.5;0.09
82;4395;1579;100;2.95;1.5;0.95
83;4252;1005;100;0.95;1.5;0.13
84;4061;242;100;2.27;1.5;0.14
85;4454;1814;100;2.51;1.5;0.57
86;4827;3308;100;2.88;1.5;0.95
87;4120;477;100;0.98;1.5;0.19
88;4491;1961;100;2.64;1.5;0.42
89;4923;3690;100;2.37;1.5;0.23
90;4732;2927;100;2.49;1.5;0.96
91;4589;2353;100;0.93;1.5;0.04
92;4398;1590;100;1.72;1.5;0.22
93;4960;3837;100;2.44;1.5;0.73
94;4265;1060;100;2.81;1.5;0.8
95;4828;3309;100;2.67;1.5;0.71
96;4133;532;100;2.63;1.5;1.0
97;4695;2779;100;1.38;1.5;0.91
